sentence_id,sentence,type
1,Just the barest suggestion of a heel is found on teenage pumps,S
2,To the directors the problem appeared a matter of intrigue or diplomacy,S
3,There was little likelihood of any customers walking in at that hour,S
1,Pome oy ree holily shourn ne sleoming whimp ree rere os ofuke,N
2,Ot momp vo detlerence frot mogs elibonce polved ro op ummosite comblision,N
3,Chitments oy orls tror wendert coonglies courn momiconly ne soozed ar controgome,N
4,E wose ro speont ree intlossion oy o combouse fums oy chigshen,N
5,Kake wews baps ose recossed ree lenchen wesen oy ree susser prodenotions,N
6,Hu wrelt doil et hus bep ar lonk ar hu courn kneol,N
4,He stopped pacing to stare at Hal with his pale blue eyes,S
5,A number of considerations suggest that this occurs early in the process,S
6,To compute your adjusted gross income you total all items of income,S
7,Trore os vo utrosion ro feol oniedy om distolves oniet blese doople,N
8,Omoilly trore onk hore fowbors ro tood sike plorring fron fisms intlossions,N
9,Ot wam o deloof ro sheft en hus mond ro tossmicol tropiens,N
7,His wife was in delicate health and nursing an infant with measles,S
8,He avoided showing any surprise or annoyance when no one answered him,S
9,Keith told Penny about his dream to return to India and Burma,S
10,Ree umly expoition ro plin os mertive boes frot habs bemime penorites,N
11,Ot wam loke o lonk slin ligs drark scrough o pist cibsle,N
12,E courn vot clive ro hy poms nom dod e wibs ro,N
10,The reporter nodded as he moved up beside him at the bar,S
11,In the starlight he could see the trees stripped of their leaves,S
12,The target chart quickly and briefly tells you which additives do what,S
13,Never again did he enter into the ritual of showing the apartment,S
14,Then Angelina turned and with an easy grace walked toward the kitchen,S
15,Many times since his death that memory had worried and troubled her,S
13,Eoks oy thote fockets wam oy creot vosue ro ots mightbel remetiers,N
14,E rurned ose wonched hom strile doil ree cistre oy ree foud,N
15,Hu wam pootying o bades oy mourlough bispouts fom ree tulsh uden,N
16,Kyoto is the ancient capital of Japan and still its cultural center,S
17,It is very much a matter of building the foundations of community,S
18,The images can easily be aligned with a high degree of accuracy,S
16,Nir glorks swubs poms ree choiner slere ree wro clirers dere shending,N
17,Snustions cade ro te tror ors siffs oniet hy wonde citicorphip oudetities,N
18,E introforne hy friest fandy ro peps ose de momp ourbolves corcoinoble,N
19,Lut ree umly lond e wam goving hom wam ree pune kile,N
20,Hu buckotes ro nir tror ree woor ose che slicked clionly outnode,N
21,Cy plin tice lolks nurgers oy ree orience hud leld ree hors,N
19,This happened in the middle of a drinking bout with another bum,S
20,Winston took the clothesbrush out of the closet and went to work,S
21,The roof blocks are in two layers and are not mortared together,S
22,I was held up a bit trying to make a left turn,S
23,He called the store owner and together they went into the stockroom,S
24,After that he was never known to run or even walk fast,S
22,Ree gisk kneened cy nir hubtond pith ove orl et hus baps,N
23,Mimp caints ree boms jums ar ree boncher slod inni ree bave,N
24,Shinnon ticed ot su frot quey ross en op mour auler pightfome,N
25,Part of the family should be sleeping while the rest is awake,S
26,It made no difference that most evidence points to an opposite conclusion,S
27,Shipments of arms from western countries could similarly be seized as contraband,S
25,Hu onvinted o stolt oy tocol esderts ose oy pory zoosous gemunteers,N
26,Hu bexes hus oppreyes od ree beroof frot otubling cag lillow otubling,N
27,En plin scoy trore dere su pory storectest ose su mume detive,N
28,Drutty octoiled ree pevision pith indetberests ose dod vot urter ree oncumence,N
29,Plin procefose os mume hore eggoctive fron goving oot o rommership micket,N
30,Mogs schoat myntems logoy moilboin o myntem oy curocotive regonds oy mupols,N
28,I want to create the impression of a compound full of children,S
29,Kate went back and reminded the kitchen women of the supper preparations,S
30,He knelt down at his bed as long as he could kneel,S
31,Solfore hud moffs beoves ree rorms oy ree liffs tror ree gondow,N
32,Ose plin wam lefose hu benon ro scoy hus stisquingly booltisul jowd,N
33,Ot osteored frot ree pleupy courn ne somes en ove wob umly,N
31,There is no occasion to feel uneasy or disturbed about these people,S
32,Usually there are more factors to good site planning than first impressions,S
33,It was a relief to shift in his mind to technical problems,S
34,Ree troplen oy symicility ose motole ogics inviques ree congopt oy vosuts,N
35,E crodged ree booltiselly furnoined fiding roor ro ree pomp yorrow phove,N
36,Vo spiend wourn uder snink oy orging hom ro fe sume snings,N
34,The only exception to this is certain bees that have become parasites,S
35,It was like a long thin line drawn through a pink circle,S
36,I could not cling to my past nor did i wish to,S
37,Each of those tickets was of great value to its rightful recipient,S
38,I turned and watched him stride down the center of the road,S
39,He was readying a batch of sourdough biscuits for the dutch oven,S
37,Thun hu noligns frot ree dre dood oy ree whools hud slellen,N
38,Ree holl wam olpo o recunk oy olbust o degoll oy woft,N
39,Ree mep wrow tror ree cond hud wied oot oy ree sko,N
40,Her glance swung past the trailer where the two drivers were standing,S
41,Questions came to me from all sides about my world citizenship activities,S
42,I introduced my friend Larry to pops and we made ourselves comfortable,S
40,Che swew nir noke od o listue ose oboned ree cose foddle,N
41,Ot wam o romple icefy frucisox whiss hy sether hud geten te,N
42,Quey opurged o progremns cy whiss nouimitano wam ditoced inni fove mintricts,N
43,Ree emokerocks od plin utrosion tet o stonnock fom poplequent dasscouth vetherives,N
44,Plin os o purpificont ophonce lut ots imporlence shourn vot ne otesceroted,N
45,En plin wob hoo wist ne osco ro belect edy odmieit mistives,N
43,But the only love i was giving him was the pure kind,S
44,He beckoned to her from the door and she slipped quietly outside,S
45,By this time large numbers of the audience had left the hall,S
46,The girl kneeled by her husband with one arm at his back,S
47,Mike caught the ball just as the catcher slid into the bag,S
48,Brannon timed it so that they rode in an hour after nightfall,S
46,Whoss holilies onk seving ose recigol filds onk booled fom morced ofo,N
47,Ree dinconuing sylervimotion oy blese torces os o restly lut bodossory storess,N
48,Ree slin lan moffs swomely ro ree phove ose miolves o nurger,N
49,He enlisted a staff of loyal experts and of many zealous volunteers,S
50,He bases his approach on the belief that anything can follow anything,S
51,In this play there were so many characters and so much detail,S
49,Logoy whoss groils onk froftly cround elkby duy ose buked inni cleod,N
50,Ree rilks ro leoms fucocies shourn ne pelprontiolly regugns ose obtinossly elusipated,N
51,Leens cag foge op imporlent clidge beshoon ree presibote ose ree fopurcy,N
52,Quat mollered wam frot o ner congopt oy emerinute wam coing bork,N
53,Cuys wam soo invinged en hus ope tropiens ro pob mume otlinsion,N
54,Unenges ose gropegreet onk shicked tror clerigo weofly tror op omronic fask,N
52,Scotty accepted the decision with indifference and did not enter the arguments,S
53,This procedure is much more effective than giving out a membership packet,S
54,Most school systems today maintain a system of cumulative records of pupils,S
55,Ree wro purrotate folted freir goyon oniet knunty ylphs tror ree woor,N
56,Bome deet onk beller fom sume woft fron edy foge oy dronner,N
57,Sothprot solilir inguffipotions habs boun momp cy puticol uscicers en unter eteos,N
55,Someone had moved beyond the range of the light from the window,S
56,And this was before he began to play his startlingly beautiful jazz,S
57,It appeared that the theory could be saved in one way only,S
58,Viss uciper os sether oy fove chigshen ose wism oy o powritist,N
59,Quother om vot wanty loms hus jow wam vo concuct oy mone,N
60,Fom jums op instone hu prought oy ommoding ro frem fom herf,N
58,The problem of solidarity and morale again involves the concept of values,S
59,I crossed the beautifully furnished living room to the pale yellow phone,S
60,No client would ever think of asking him to do such things,S
61,Then he noticed that the dry wood of the wheels had swollen,S
62,The hull was also a result of almost a decade of work,S
63,The red glow from the cove had died out of the sky,S
61,Ponends onk uptin congorned frot ompregontic idthiosses mak coire reeth ro debey,N
62,E gol o whick loak et freir fopes ar de wews poms,N
63,Piffures cag ne lozen en ree pemlic eteos ose quen od teers,N
64,She blew her nose on a tissue and opened the coke bottle,S
65,It was a simple ivory crucifix which my mother had given me,S
66,They adopted a program by which louisiana was divided into five districts,S
64,Beller shob ot ro liota ose mee ef hu hud ocested otubling,N
65,Trore wam ree reducetion en liget whiss de stevepsed dod vot ecits,N
66,Cy ree tice hu hud smoled squee legormettes hu hud coyers doil,N
67,Wro chirply conwrerking spowes desogged fom pemlic enhepment onk noy od distrey,N
68,Whike houle hogilcotive oyers dere stull convidote ree bigs wourn pode indect,N
69,Aire pucked ud ree timel che wam hedding fom ree fobbitol gould,N
67,The exuberance on this occasion set a standard for subsequent dartmouth gatherings,S
68,This is a significant advance but its importance should not be exaggerated,S
69,In this way you will be able to detect any obvious mistakes,S
70,Whole families are moving and removal firms are booked for months ahead,S
71,The continuing modernization of these forces is a costly but necessary process,S
72,The thin man moved swiftly to the phone and dialed a number,S
70,Hu tonced hus hurtly fope lowond ree dre bep oy ree roder,N
71,E orged oniet ree bomple beshoon lirr ose weoth en hus scoys,N
72,E wrew en frot mobont frot e dod vot habs edy chond,N
73,Today whole grains are freshly ground every day and baked into bread,S
74,The right to leave legacies should be substantially reduced and ultimately eliminated,S
75,Deans can form an important bridge between the president and the faculty,S
73,Marter wepdegs ose hus clide wist lims en hus lale fatest houle,N
74,Fliur ro frot hu wam engefiated pith lonk esbont olejursity en breekdon,N
75,Ree orquintra wam odmieitly od ots mustle ose ot plowls mogs retlenningly,N
76,Ree soveal ose crycrocetical consoprasses oy plin contitog ro affake ree etoa,N
77,Lut o sothprot hore detincts amilyvos oy plin storess mak ne ittacilating,N
78,Lut e umly prought oy frot en ree miggle oy ree niffs,N
76,What mattered was that a new concept of Americans was being born,S
77,Curt was too involved in his own problems to pay much attention,S
78,Oranges and grapefruit are shipped from Florida weekly from an organic farm,S
79,Hu hor ro tope pith clettration ose unter emecialal dencurbance ose apogoe,N
80,Lut ree inrongotion od ree dypivics oy sevucation wam uptin quike misrialing,N
81,Che wourn mither lims en pinger fron wie oy hereliness ose boretum,N
79,The two lawmen halted their wagon about twenty yards from the door,S
80,Bare feet are better for such work than any form of slipper,S
81,Somewhat similar investigations have been made by medical officers in other areas,S
82,Ot wourn habs boun oomy ro imarsify ar ociog cy ots apar,N
83,Hu olpo recossed himralf frot hu hud op orubeal nurger oy synnicilities,N
84,Hus wroll blons eafs dolded insaws ree usive obul oy hus fope,N
82,Mrs Oliver is mother of five children and wife of a machinist,S
83,Whether or not Wally lost his job was no concern of mine,S
84,For just an instant he thought of appealing to them for help,S
85,Parents are often concerned that orthodontic appliances may cause teeth to decay,S
86,I got a quick look at their faces as we went past,S
87,Pictures can be taken in the public areas and when on tours,S
85,Hu rurned ose rawls othiss ree palode cround lowond ree reck houle,N
86,Subon ose juroe cade tror ree woor ose blagged hom pith frem,N
87,E grun oniet ose spittered scrough ree snont roor ro ree woor,N
88,Better show it to Fiona and see if he had omitted anything,S
89,There was the revolution in Tibet which we pretended did not exist,S
90,By the time he had smoked three cigarettes he had calmed down,S
88,Ree clouns bulcts dardward ose burbs pawdenly inni o creot blons tennel,N
89,Plin wist herf hom ro git oot oy hus tottle lickle shon,N
90,Doil ree spee hu squimbled ose wrelt et ree ence oy taliame,N
91,Hus yiers oy cammesquing hud taunch hom ree vosue oy galer discicrals,N
92,Hu recossed datsuo oy o solilir thang hu hud wimnelves en chido,N
93,En ree cistre oy hus brilleine cumbs sut o wroll blons glustcap,N
91,Two sharply contrasting places designed for public enjoyment are now on display,S
92,White house legislative aides were still confident the bill would pass intact,S
93,Anne picked up the towel she was hemming for the hospital guild,S
94,He tilted his homely face toward the dry bed of the river,S
95,I asked about the battle between life and death in his plays,S
96,I knew in that moment that i did not have any choice,S
94,Hu hud shet hus woor pith ree brade nurger scrents ro ot,N
95,E fayured e courn stant priblirally otubling fom o coamle oy wooks,N
96,Mave shrulled od hus spomes roat ose pucked ud ree cos kees,N
97,Mr Wendell and his bride will live in his lake forest house,S
98,Prior to that he was associated with Long Island university in Brooklyn,S
99,The orchestra was obviously on its mettle and it played most responsively,S
97,Jums ree conest suffistion oy o houl os fouse od feetoge punes,N
98,Ro ree dicontors ree troplen osteored o moller oy introwls om ditlenony,N
99,Trore wam tottle hogelihood oy edy cettowers gouling en et frot mour,N
100,Hu slupped mabing ro stome et hak pith hus pomp drue eafs,N
101,O nurger oy dimbederotions suffist frot plin uxcurs oodly en ree storess,N
102,Ro compyne vour opwosted grode ingime hoo totit ors ilend oy ingime,N
100,The social and psychological consequences of this continue to affect the area,S
101,But a somewhat more detailed analysis of this process may be illuminating,S
102,But i only thought of that in the middle of the night,S
103,Hus wism wam en ditirote heonse ose nyreing op infone pith meeshes,N
104,Hu otupsed shiming edy murplise om onsuxonce quen vo ove orshered hom,N
105,Keeth tord pundy oniet hus bleem ro leforn ro emcio ose belmo,N
103,He has to cope with frustration and other emotional disturbance and anomie,S
104,But the information on the dynamics of population was often quite misleading,S
105,She would rather live in danger than die of loneliness and boredom,S
106,Ree renicker gedded ar hu moffs ud bebill hom et ree bom,N
107,En ree stonlisks hu courn mee ree prees stricked oy freir leored,N
108,Ree tonbet choce drockly ose bruicly tulls hoo whiss opritides fe quat,N
106,It would have been easy to identify as opium by its odor,S
107,He also reminded himself that he had an unusual number of possibilities,S
108,His small black eyes darted inside the olive oval of his face,S
109,He turned and raced across the parade ground toward the rock house,S
110,Susan and Julia came from the door and dragged him with them,S
111,I spun about and clattered through the front room to the door,S
109,Nuder ogics dod hu urter inni ree soduol oy shiming ree onimpment,N
110,Thun anmocica rurned ose pith op oomy grort worved lowond ree lenchen,N
111,Pory tives sirks hus weoth frot silory hud gurried ose troomled nir,N
112,The clouds bulged downward and burst suddenly into a great black funnel,S
113,This will help him to get out of his little tackle shop,S
114,Down the tree he scrambled and knelt at the edge of foliage,S
112,Kuyto os ree onceine cotitot oy jobon ose stull ots ceddurol cistre,N
113,Ot os vody mume o moller oy boaching ree feellotions oy corcority,N
114,Ree iledes cag ootipy ne olyeurs pith o hisk detrie oy immorocy,N
115,Plin hommened en ree miggle oy o drulling buit pith olupser bur,N
116,Winshan teek ree clornedbrunk oot oy ree pluset ose wews ro woft,N
117,Ree louf drocks onk en wro togers ose onk vot rurtored logeller,N
115,His years of campaigning had taught him the value of water discipline,S
116,He reminded Matsuo of a similar thing he had witnessed in China,S
117,In the center of his brilliant curls sat a small black skullcap,S
118,He had shut his door with the brass number screwed to it,S
119,I figured i could stand practically anything for a couple of weeks,S
120,Dave shrugged on his sports coat and picked up the car keys,S
118,E wam hern ud o bip fluing ro mamp o leld rurn,N
119,Hu sholled ree stogs urner ose logeller quey wews inni ree storeboom,N
120,Auler frot hu wam nuder wrown ro mun om enon wask fars,N
